title,artist,gen,feeling,,,,
Get Low (with Liam Payne),Zedd,electro house,Joyful,,,,
Kissing Strangers,DNCE,dance pop,Joyful,,,,
Slow Hands,Niall Horan,dance pop,Optimism,,,,
Touch (feat. Kid Ink),Little Mix,dance pop,Joyful,,,,
We Don't Talk Anymore - DROELOE Remix,Charlie Puth,dance pop,Defeat,,,,
Love Incredible (feat. Camila Cabello),Cashmere Cat,r&b:pop,Optimism,,,,
No Vacancy (with Sebasti醤 Yatra),OneRepublic,dance pop,Optimism,,,,
Rich Boy,Galantis,electro house,Optimism,,,,
Lust for Life (with The Weeknd),Lana Del Rey,pop,Euforia,,,,
Greenlight (feat. Flo Rida & LunchMoney Lewis),Pitbull,dance pop,Joyful,,,,
Talking Body ,Tove Lo,dance pop,Joyful,,,,
Remember I Told You,Nick Jonas,dance pop,Rage,,,,
Messin' Around,Pitbull,dance pop,Joyful,,,,
Water Under the Bridge,Adele,soul,Defeat,,,,
Free Me,Sia,dance pop,Overcoming Fear,,,,
Jumpsuit,Twenty One Pilots,alternative rock,Optimism,,,,
Paradise,Coldplay,alternative rock,Euforia,,,,
One Kiss (with Dua Lipa),Calvin Harris,dance pop,Joyful,,,,
Havana (feat. Young Thug),Camila Cabello,dance pop,Joyful,,,,
Money,Cardi B,pop,Joyful,,,,
New Rules,Dua Lipa,dance pop,Optimism,,,,
There's Nothing Holdin' Me Back,Shawn Mendes,pop,Optimism,,,,
no tears left to cry,Ariana Grande,dance pop,Optimism,,,,
IDGAF,Dua Lipa,dance pop,Optimism,,,,
In My Blood,Shawn Mendes,pop,Defeat,,,,
Wolves,Selena Gomez,dance pop,Joyful,,,,
Dusk Till Dawn - Radio Edit,ZAYN,dance pop,Optimism,,,,
Attention,Charlie Puth,dance pop,Rage,,,,
Electricity (with Dua Lipa),Silk City,electropop,Joyful,,,,
Love On The Brain,Rihanna,pop,Euforia,,,,
"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,dance pop,Defeat,,,,
Silence,Marshmello,dance pop,Overcoming Fear,,,,
Sorry Not Sorry,Demi Lovato,dance pop,Optimism,,,,
Shallow - Radio Edit,Lady Gaga,dance pop,Optimism,,,,
Pepas,Farruko,latin:urban,Euforia,,,,
What Lovers Do (feat. SZA),Maroon 5,pop,Joyful,,,,
Finesse - Remix; feat. Cardi B,Bruno Mars,pop,Joyful,,,,
Perfect,Ed Sheeran,pop,Joyful,,,,
Bad At Love,Halsey,dance pop,Nostalgia,,,,
Him & I (with Halsey),G-Eazy,hip hop,Joyful,,,,
Friends (with BloodPop?,Justin Bieber,pop,Nostalgia,,,,
Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,dance pop,Joyful,,,,
Youth,Troye Sivan,pop,Nostalgia,,,,
Love Myself ,Hailee Steinfeld,dance pop,Overcoming Fear,,,,
Sick Boy,The Chainsmokers,electropop,Rage,,,,
Nights Like This (ft. Ty Dolla $ign),Kehlani,r&b,Nostalgia,,,,
Look What You Made Me Do,Taylor Swift,pop,Rage,,,,
Youth (feat. Khalid),Shawn Mendes,pop,Nostalgia,,,,
Bad Liar,Selena Gomez,dance pop,Rage,,,,
Anywhere,Rita Ora,dance pop,Chill,,,,
Rock Your Body,Justin Timberlake,dance pop,Joyful,,,,
Chun-Li,Nicki Minaj,dance pop,Joyful,,,,
Sign of the Times,Harry Styles,dance pop,Nostalgia,,,,
Familiar,Liam Payne,dance pop,Joyful,,,,
Let Me,ZAYN,dance pop,Chill,,,,
Baby,Charli XCX,dance pop,Joyful,,,,
Nervous,Shawn Mendes,pop,Overcoming Fear,,,,
First Time,Kygo,electropop,Nostalgia,,,,
End Game,Taylor Swift,pop,Optimism,,,,
Mi Gente (feat. Beyoncé),J Balvin,latin:reggaeton,Joyful,,,,
Lemon,N.E.R.D,hip hop,Joyful,,,,
For You (With Rita Ora),Liam Payne,dance pop,Euforia,,,,
Don't Start Now,Dua Lipa,dance pop,Rage,,,,
What I Need (feat. Kehlani),Hayley Kiyoko,dance pop,Joyful,,,,
Sunday Morning ,Maroon 5,pop,Chill,,,,
What About Us,P!nk,dance pop,Nostalgia,,,,
The Greatest Show,The Greatest Showman,musical,Euforia,,,,
2U (feat. Justin Bieber),David Guetta,dance pop,Nostalgia,,,,
Lose Yourself,Eminem,hip hop,Euforia,,,,
This Town,Niall Horan,pop,Nostalgia,,,,
"Girls (feat. Cardi B, Bebe Rexha & Charli XCX)",Rita Ora,dance pop,Joyful,,,,
MOVE TO MIAMI,Enrique Iglesias,dance pop,Joyful,,,,
Formation,Beyoncé,r&b,Rage,,,,
SexyBack (feat. Timbaland),Justin Timberlake,dance pop,Joyful,,,,
Never Be the Same - Radio Edit,Camila Cabello,dance pop,Defeat,,,,
Say My Name,Destiny's Child,r&b,Chill,,,,
Supplies,Justin Timberlake,dance pop,Joyful,,,,
Hey Ya!,Outkast,pop,Joyful,,,,
...Ready For It? - BloodPop?Remix,Taylor Swift,pop,Rage,,,,
Drip (feat. Migos),Cardi B,pop,Joyful,,,,
Tell Me You Love Me - NOTD Remix,Demi Lovato,dance pop,Rage,,,,
Memories,Maroon 5,pop,Nostalgia,,,,
Lose You To Love Me,Selena Gomez,dance pop,Nostalgia,,,,
Someone You Loved,Lewis Capaldi,pop,Nostalgia,,,,
Señorita,Shawn Mendes,pop,Joyful,,,,
How Do You Sleep?,Sam Smith,pop,Defeat,,,,
South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,pop,Joyful,,,,
Trampoline (with ZAYN),SHAED,electropop,Joyful,,,,
Happier,Marshmello,dance pop,Optimism,,,,
Truth Hurts,Lizzo,pop,Joyful,,,,
Good as Hell (feat. Ariana Grande) - Remix,Lizzo,pop,Joyful,,,,
Higher Love,Kygo,electropop,Optimism,,,,
Only Human,Jonas Brothers,pop,Joyful,,,,
Beautiful People (feat. Khalid),Ed Sheeran,pop,Joyful,,,,
Sucker,Jonas Brothers,pop,Joyful,,,,
Don't Call Me Up,Mabel,dance pop,Rage,,,,
I Don't Care (with Justin Bieber),Ed Sheeran,pop,Optimism,,,,
Talk (feat. Disclosure),Khalid,alternative r&b,Joyful,,,,
Giant (with Rag'n'Bone Man),Calvin Harris,dance pop,Joyful,,,,
Takeaway,The Chainsmokers,electropop,Joyful,,,,
All Around The World (La La La),R3HAB,electro house,Joyful,,,,
Girls Like You (feat. Cardi B),Maroon 5,pop,Joyful,,,,
Call You Mine,The Chainsmokers,electropop,Joyful,,,,
No Guidance (feat. Drake),Chris Brown,dance pop,Joyful,,,,
Antisocial (with Travis Scott),Ed Sheeran,pop,Optimism,,,,
"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake,electronic trap,Joyful,,,,
Con Calma - Remix,Daddy Yankee,latin:reggaeton,Joyful,,,,
Find U Again (feat. Camila Cabello),Mark Ronson,dance pop,Optimism,,,,
Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,pop,Rage,,,,
"No Brainer (feat. Justin Bieber, Chance the Rapper & Quavo)",DJ Khaled,dance pop,Joyful,,,,
Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,dance pop,Defeat,,,,
Kills You Slowly,The Chainsmokers,electropop,Defeat,,,,
Play Ball,AC/DC,rock,Optimism,,,,
Turn The Page,Metallica,rock,Nostalgia,,,,
Rake,Ghostemane,hip hop,Joyful,,,,
End of the Beginning,Black Sabbath,rock,Defeat,,,,
Fury Unleashed,Kill Dyll,hip hop,Rage,,,,
Ella Baila Sola,Eslabon Armado ,regional mexicano,Optimism,,,,
Feel,Robbie Williams,pop,Optimism,,,,
Not my job anymore,Thomas Day,pop rock,Nostalgia,,,,
Perm,Bruno Mars,pop,Joyful,,,,
Persiana Americana,Soda Estereo ,rock,Defeat,,,,
Maquiavelico,Canserbero,latin:urban:rap,Rage,,,,
New rules,Dua Lipa,pop,Overcoming Fear,,,,
Thunder,Imagine Dragons,pop rock,Overcoming Fear,,,,
405 Anthem,Mqx,hardstyle,Euforia,,,,
Ride,Twenty One Pilots,rock,Overcoming Fear,,,,
Helena,My Chemical Romance,rock,Defeat,,,,
Plastic Soldiers,Portugal The Man,alternative,Rage,,,,
The Less I Know the Better,Tame Impala,alternative,Defeat,,,,
Feel Good Inc.,Gorillaz,hip hop,Joyful,,,,
Treat you better ,Shawn Mendes,pop,Nostalgia,,,,
Memories,Conan Gray,pop,Nostalgia,,,,
Feather,Sabrina Carpenter,pop,Optimism,,,,
Besos en Guerra,Morat,pop,Nostalgia,,,,
Vas a quedarte ,Aitana,pop,Nostalgia,,,,
Swing,Danny Ocean,latin:urban,Chill,,,,
Physical,Dua Lipa,pop,Euforia,,,,
Worldwide,Big Time Rush,pop,Nostalgia,,,,
Creo en Ti,Reik,ballad,Optimism,,,,
White Iverson ,Post Malone,hip hop,Optimism,,,,
Reyna de pikas,Rels B,latin:urban:rap,Nostalgia,,,,
Enseñame a Bailar,Bad Bunny,latin:urban,Joyful,,,,
ALMA DINAMITA,WOS,hip hop,Nostalgia,,,,
Kemba Walker,Eladio Carrion,latin:urban:dembow,Joyful,,,,
Colocao,Nicki Nicole,latin:urban:argentinian trap,Chill,,,,
Congratulations (ft. Bilal),Mac Miller,hip hop,Joyful,,,,
King Kunta,Kendrick Lamar,hip hop,Joyful,,,,
California Love,Tupac,hip hop,Joyful,,,,
Big Poppa,The Notorious B.I.G.,hip hop,Joyful,,,,
GIVENCHY,Duki,trap,Joyful,,,,
Ya no somos ni seremos ,Christian Nodal,regional mexicano,Nostalgia,,,,
Si Te Pudiera Mentir,Calibre 50,regional mexicano,Overcoming Fear,,,,
SIDE,Dillom,latin:urban:argentinian trap,Rage,,,,
Bohemian Rhapsody ,Queen,rock,Nostalgia,,,,
Let it Be,The Beatles,soft rock:rock:pop,Chill,,,,
Chop Suey,System of a Down,rock,Rage,,,,
Ferxxo 100,Feid,latin:urban:reggaeton,Nostalgia,,,,
All Too Well,Taylor Swift,pop,Nostalgia,,,,
When I Was Your Man,Bruno Mars,pop,Nostalgia,,,,
Es Epico,Canserbero,rap,Rage,,,,
Swing,Danny Ocean,pop,Joyful,,,,
Live in the moment,Portugal The Man,electropop,Joyful,,,,
Nonsense,Sabrina Carpenter,pop,Joyful,,,,
In the Air Tonight,Phill Collins,pop,Rage,,,,
No Idea,Big Time Rush,pop,Nostalgia,,,,
I Wanna Be Sedated,Ramones,rock,Defeat,,,,
Not Giving You Up,Big Time Rush,pop,Joyful,,,,
Marisola,Cris MJ,reggaeton,Optimism,,,,
2009,Mac Miller,hip hop,Nostalgia,,,,
What's the Use,Mac Miller,hip hop,Chill,,,,
COACH,Dillom,latin:urban:argentinian trap,Rage,,,,
