title,artist,gen,feeling,,,,
Titanium (feat. Sia),David Guetta,dance pop,Joyful,,,,
Locked Out of Heaven,Bruno Mars,pop,Joyful,,,,
Adventure of a Lifetime,Coldplay,rock,Joyful,,,,
Payphone,Maroon 5,pop,Nostalgia,,,,
What Makes You Beautiful,One Direction,pop,Joyful,,,,
I Knew You Were Trouble.,Taylor Swift,pop,Defeat,,,,
Call Me Maybe,Carly Rae Jepsen,pop,Joyful,,,,
Love You Like A Love Song,Selena Gomez & The Scene,dance pop,Chill,,,,
Set Fire to the Rain,Adele,soul,Rage,,,,
Willow,Taylor Swift,pop,Joyful,,,,
Paper Rings,Taylor Swift,pop,Joyful,,,,
Try,P!nk,dance pop,Optimism,,,,
Starships,Nicki Minaj,dance pop,Joyful,,,,
One More Night,Maroon 5,pop,Rage,,,,
Good Time,Owl City,pop,Joyful,,,,
Glad You Came,The Wanted,pop,Joyful,,,,
Beauty And A Beat,Justin Bieber,pop,Joyful,,,,
International Love,Pitbull,dance pop,Joyful,,,,
Thinkin Bout You,Frank Ocean,hip hop,Chill,,,,
Boyfriend,Justin Bieber,pop,Joyful,,,,
Part Of Me,Katy Perry,dance pop,Euforia,,,,
Domino,Jessie J,pop,Joyful,,,,
Where Have You Been,Rihanna,pop,Joyful,,,,
Wide Awake,Katy Perry,dance pop,Optimism,,,,
The One That Got Away,Katy Perry,dance pop,Nostalgia,,,,
Dance Again,Jennifer Lopez,dance pop,Joyful,,,,
Turn Up the Music,Chris Brown,dance pop,Joyful,,,,
Mr. Brightside,The Killers,rock,Joyful,,,,
We Are Young (feat. Janelle Mon醗),fun.,pop,Joyful,,,,
Diamonds,Rihanna,pop,Joyful,,,,
Don't Stop the Party (feat. TJR),Pitbull,dance pop,Joyful,,,,
You Da One,Rihanna,pop,Joyful,,,,
Stereo Hearts (feat. Adam Levine),Gym Class Heroes,dance pop,Joyful,,,,
It Will Rain,Bruno Mars,pop,Nostalgia,,,,
Float On,Modest Mouse,indie,Joyful,,,,
Smells Like Teen Spirit,Nirvana,alternative rock:rock,Rage,,,,
Wake Me Up,Avicii,electro house,Euforia,,,,
Story of My Life,One Direction,pop,Nostalgia,,,,
Just Give Me a Reason (feat. Nate Ruess),P!nk,dance pop,Nostalgia,,,,
Hall of Fame,The Script,rock,Optimism,,,,
Need To Know,Doja Cat,r&b,Joyful,,,,
We Can't Stop,Miley Cyrus,dance pop,Joyful,,,,
Don't You Worry Child - Radio Edit,Swedish House Mafia,electro house,Joyful,,,,
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,electro,Joyful,,,,
Wrecking Ball,Miley Cyrus,dance pop,Nostalgia,,,,
Impossible,James Arthur,pop,Nostalgia,,,,
Time to Pretend,MGMT,dance pop,Euforia,,,,
Heart Attack,Demi Lovato,dance pop,Defeat,,,,
We Are Never Ever Getting Back Together,Taylor Swift,pop,Optimism,,,,
Die Young,Kesha,dance pop,Defeat,,,,
Clarity,Zedd,electro house,Optimism,,,,
Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,Lana Del Rey,pop,Nostalgia,,,,
Under Control,Calvin Harris,dance pop,Joyful,,,,
Canta Corazón,Alejandro Fernández,ballad,Overcoming Fear,,,,
"Hold On, We're Going Home",Drake,hip hop,Chill,,,,
Best Song Ever,One Direction,pop,Joyful,,,,
Kiss You,One Direction,pop,Joyful,,,,
How to Save a Life,The Fray,ballad,Nostalgia,,,,
Lose Yourself to Dance,Daft Punk,electro,Joyful,,,,
Work Bitch,Britney Spears,dance pop,Joyful,,,,
You're Beautiful,James Blunt,ballad,Nostalgia,,,,
Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,dance pop,Optimism,,,,
Feel This Moment (feat. Christina Aguilera),Pitbull,dance pop,Joyful,,,,
Beneath Your Beautiful,Labrinth,pop,Optimism,,,,
Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,dance pop,Joyful,,,,
Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,dance pop,Joyful,,,,
If I Lose Myself - Alesso vs OneRepublic,OneRepublic,dance pop,Joyful,,,,
The Way,Ariana Grande,dance pop,Joyful,,,,
Chasing Cars,Snow Patrol,ballad,Nostalgia,,,,
#thatPOWER,will.i.am,dance pop,Joyful,,,,
I Love It (feat. Charli XCX),Icona Pop,dance pop,Joyful,,,,
Play Hard (feat. Ne-Yo & Akon) - New Edit,David Guetta,dance pop,Joyful,,,,
Daylight,Maroon 5,pop,Nostalgia,,,,
Love Somebody,Maroon 5,pop,Nostalgia,,,,
A Little Party Never Killed Nobody (All We Got),Fergie,dance pop,Joyful,,,,
Daughters,John Mayer,ballad,Nostalgia,,,,
Walks Like Rihanna,The Wanted,pop,Joyful,,,,
Rock N Roll,Avril Lavigne,pop,Optimism,,,,
Si No Te Hubieras Ido,Marco Antonio Solis,ballad,Defeat,,,,
Mirrors ,Justin Timberlake,pop:r&b,Nostalgia,,,,
Yo no me doy por Vencido,Luis Fonsi,ballad,Overcoming Fear,,,,
Made In The USA,Demi Lovato,dance pop,Joyful,,,,
Hurt,Christina Aguilera,ballad,Defeat,,,,
Girl On Fire ,Alicia Keys,soul,Optimism,,,,
Gravity,John Mayer,ballad,Chill,,,,
Come & Get It,Selena Gomez,dance pop,Nostalgia,,,,
Put it All On Me (ft. Ella Mai),Ed Sheeran,ballad,Chill,,,,
We Own The Night,The Wanted,pop,Joyful,,,,
Atlas - From The Hunger Games: Catching Fire?Soundtrack,Coldplay,pop rock,Optimism,,,,
What About Love,Austin Mahone,dance pop,Joyful,,,,
Take Back the Night,Justin Timberlake,pop:r&b,Joyful,,,,
Applause,Lady Gaga,dance pop,Optimism,,,,
Anything Could Happen,Ellie Goulding,dance pop,Joyful,,,,
Finally Found You,Enrique Iglesias,dance pop,Optimism,,,,
Pom Poms,Jonas Brothers,pop,Joyful,,,,
#Beautiful,Mariah Carey,dance pop,Joyful,,,,
How Ya Doin'? (feat. Missy Elliott),Little Mix,dance pop,Joyful,,,,
Crazy Kids (feat. will.i.am),Kesha,dance pop,Joyful,,,,
Level Up,Ciara,r&b,Euforia,,,,
People Like Us,Kelly Clarkson,dance pop,Overcoming Fear,,,,
Overdose,Ciara,dance pop,Joyful,,,,
Right Now - Dyro Radio Edit,Rihanna,pop,Joyful,,,,
Give It 2 U (ft. Kendrick Lamar),Robin Thicke,dance pop,Joyful,,,,
Foolish Games,Jewel,pop,Defeat,,,,
